1,LE 8 Seater,3,1
2,4X2,44,383
3,LX 7 Seater,2,1
4,Coupe,3,2
5,Volante,3,2
6,LUXE,3,3
7,Coupe,3,4
8,V12,3,5
9,Coupe,3,6
10,N420,3,6
11,Roadster,3,6
12,S Coupe,3,6
13,35TDI Attraction,4,7
14,1.8 T Multitronic,4,8
15,1.8 TFSI,4,8
16,2.0 TDI Mutitronic,4,8
17,2.0 TFSI,4,8
18,3.0 TDI quattro,4,8
19,3.5 FSI quattro,4,8
20,S4 3.0 TFSI quattro,4,8
21,2.0 TDI,4,9
22,2.7 TDI,4,9
23,2.8 FSI,4,9
24,3.0 I Multitronic,4,9
25,3.0 TDI quattro,4,9
26,3.0 TFSI quattro,4,9
27,3.2 FSI quattro,4,9
28,Sportback 3.0 TDI quattro,4,10
29,3.0 TDI quattro,4,11
30,4.2 FSI quattro,4,11
31,4.2 TDI quattro,4,11
32,6.0 W12 quattro,4,11
33,L,4,11
34,W12,4,11
35,2.0 TDI Base Grade,4,12
36,2.0 TDI quattro,4,12
37,2.0 TFSI quattro,4,12
38,2.0 TDI quattro,4,13
39,2.0 TFSI quattro,4,13
40,3.0 TDI quattro,4,13
41,3.0 TDI quattro,4,14
42,3.0 TFSI quattro,4,14
43,3.6 FSI quattro,4,14
44,4.2 FSI quattro,4,14
45,4.2 TDI quattro,4,14
46,4.2 V8 Coupe,4,15
47,5.2 V10 Coupe,4,15
48,5.2 V10 Spyder,4,15
49,Convertible 5.2 FSI quattro Spyder,4,15
50,Coupe 4.2 FSI quattro R Tronic,4,15
51,Coupe 4.2 FSI quattro,4,15
52,Coupe 5.2,4,15
53,Coupe,4,16
54,5.2 V10,4,17
55,1.8 TFSI Convertible,4,18
56,1.8 TFSI Coupe,4,18
57,2.0 TFSI quattro,4,18
58,3.2 Coupe quattro,4,18
59,R,5,19
60,RL,5,19
61,Convertible,5,20
62,Sedan,5,21
63,Coupe,5,22
64,Convertible,5,23
65,Convertible,5,24
66,V8,5,25
67,316Ci Coupe,6,26
68,316i Sedan,6,26
69,318Ci Covertible,6,26
70,318Ci Coupe,6,26
71,318d Sedan,6,26
72,318d Touring,6,26
73,318i Touring,6,26
74,318i Sedan,6,26
75,320 Cd Convertible,6,26
76,320 Cd Coupe,6,26
77,320 Ci Convertible,6,26
78,320 Ci Coupe,6,26
79,320d,6,26
80,320d Highline Sedan,6,26
81,320d Luxury Line,6,26
82,320d Luxury Plus,6,26
83,320d Sedan,6,26
84,320d Sport Line,6,26
85,320d Touring,6,26
86,320i Sedan,6,26
87,320i Touring,6,26
88,320si Sedan,6,26
89,325Ci Convertible,6,26
90,325Ci Coupe,6,26
91,325i Sedan,6,26
92,325i Touring,6,26
93,328i Sport Line,6,26
94,330Cd Convertible,6,26
95,330Cd Coupe,6,26
96,330Ci Convertible,6,26
97,330Ci Coupe,6,26
98,330Cd Convertible,6,26
99,330d Sedan,6,26
100,330d Touring,6,26
101,330i Touring,6,26
102,330i,6,26
103,520d Sedan,6,27
104,520d Sedan 2.0,6,27
105,520i Sedan,6,27
106,523i Sedan 2.5,6,27
107,523i Sedan,6,27
108,523i Touring,6,27
109,525d Sedan 3.0,6,27
110,525d Sedan,6,27
111,525d Touring,6,27
112,525i Sedan,6,27
113,528i Sedan,6,27
114,530d Highline Sedan,6,27
115,530d Sedan 3.0,6,27
116,530d Touring,6,27
117,530i Sedan,6,27
118,530i Touring,6,27
119,535d Sedan,6,27
120,535d Touring,6,27
121,535i Sedan 3.0,6,27
122,540i Sedan,6,27
123,550i Sedan,6,27
124,550i Touring,6,27
125,530d,6,28
126,530d LE,6,28
127,530d xDrive,6,28
128,535i,6,28
129,535i xDrive,6,28
130,550i,6,28
131,550i xDrive,6,28
132,630i Convertible,6,29
133,630i Coupe,6,29
134,640d Convertible,6,29
135,640d Coupe,6,29
136,645i,6,29
137,650i Convertible,6,29
138,650i Coupe,6,29
139,Gran Coupe 640d,6,29
140,728i,6,30
141,728i,6,30
142,730d Sedan,6,30
143,730i Sedan,6,30
144,730Ld Sedan,6,30
145,730Li Sedan,6,30
146,735Li,6,30
147,740i Sedan,6,30
148,740Li Sedan,6,30
149,745d Sedan,6,30
150,750i Sedan,6,30
151,750Li Sedan,6,30
152,760i Sedan,6,30
153,760Li Sedan,6,30
154,Convertible,6,31
155,Coupe,6,31
156,Sedan,6,32
157,Convertible,6,33
158,Coupe,6,33
159,sDrive20d,6,34
160,sDrive20d Sport Line,6,34
161,sDrive20d xLine,6,34
162,sDrive20d(H),6,34
163,sDrive18i,6,34
164,2.5si,6,35
165,SAV 2.0d,6,35
166,SAV 2.0i,6,35
167,SAV 2.5i,6,35
168,SAV 3.0d,6,35
169,SAV 3.0i,6,35
170,xDrive20d,6,35
171,xDrive30d,6,35
172,3.0d,6,36
173,4.8i,6,36
174,SAV 3.0d,6,36
175,SAV 3.0i,6,36
176,SAV 4.4i,6,36
177,SAV 4.8is,6,36
178,xDrive30d,6,36
179,xDrive50i,6,36
180,xDrive 40d,6,37
181,xDrive 50i,6,37
182,xDrive 30d,6,37
183,xDrive 50i,6,37
184,Roadster,6,38
185,Coupe 3.0si,6,39
186,Roadster 2.0i,6,39
187,Roadster 2.5i,6,39
188,Roadster 2.5si,6,39
189,Roadster sDrive35i,6,39
190,16.4 Grand Sport,7,40
191,Classic,8,41
192,CNG 1.4,9,44
193,LS 1.4,9,44
194,LT 1.4 ABS,9,44
195,LT 1.4,9,44
196,LT 1.6,9,44
197,LT 1.6 ABS,9,44
198,1.4,9,42
199,E 1.4,9,42
200,LS 1.4,9,42
201,LT 1.6,9,42
202,LT 1.6 Opt,9,42
203,LS 1.4 Ltd,9,42
204,1.2,9,43
205,LS 1.2 Techno,9,43
206,LS 1.2,9,43
207,LT 1.2,9,43
208,LT 1.2 ABS & Airbag,9,43
209,LT 1.2 ABS,9,43
210,1.2 LT,9,45
211,LS Diesel,9,45
212,LS LPG,9,45
213,LS Petrol,9,45
214,LT Diesel,9,45
215,LT LPG,9,45
216,LT Opt Diesel,9,45
217,LT Opt Petrol,9,45
218,LT Petrol,9,45
219,PS Diesel,9,45
220,PS Petrol,9,45
221,LT,9,46
222,LTZ AWD 2.2,9,46
223,LTZ AWD AT,9,46
224,Xtreme,9,46
225,6.2L V8 AT,9,47
226,C6,9,47
227,ZR-1,9,47
228,LT,9,48
229,LTZ,9,48
230,LTZ AT,9,48
231,Master,9,49
232,AWD,9,50
233,LS,9,51
234,LS 1.6,9,52
235,LS 2.0 TCDi,9,52
236,LT 1.6,9,52
237,LT 2.0 TCDi,9,52
238,Max 1.6,9,52
239,Max 2.0 TCDi,9,52
240,1.6 Opt,9,53
241,1.6,9,53
242,TCDi 2.0,9,53
243,1.6,9,54
244,1.8,9,54
245,Elite 1.6,9,54
246,LS 1.6,9,54
247,LS 1.8,9,54
248,LS AT 1.8,9,54
249,LS Elite 1.6,9,54
250,LT 1.8,9,54
251,LT AT 1.8,9,54
252,LT Royale 1.6,9,54
253,Max 1.8,9,54
254,Platinum 1.6,9,54
255,1.2 Base,9,55
256,1.2 LS,9,55
257,1.2 LS ABS,9,55
258,1.2 LT ABS,9,55
259,1.3 Base,9,55
260,1.3 LS,9,55
261,1.3 LS ABS,9,55
262,1.3 LT ABS,9,55
263,1.2 Base,9,56
264,1.2 LS,9,56
265,1.2 LS ABS,9,56
266,1.2 LT ABS,9,56
267,1.3 Base,9,56
268,1.3 LS,9,56
269,1.3 LS ABS,9,56
270,1.3 LT ABS,9,56
271,Estate,9,57
272,1,9,58
273,1.0,9,58
274,E 1.0,9,58
275,LS 1.0,9,58
276,LS 1.0 LPG,9,58
277,LS 1.0 Muzic,9,58
278,LT 1.0,9,58
279,LT 1.0 Airbag,9,58
280,LT 1.0 LPG,9,58
281,LT 1.0 Opt,9,58
282,PS 1.0 LPG,9,58
283,PS 1.0,9,58
284,SRV 1.6,9,59
285,B1 10-Seater-BS II,9,60
286,B1 10-Seater-BS III,9,60
287,B1 7-Seater-BS II,9,60
288,B1 7-Seater-BS III,9,60
289,B2 8-Seater-BS II,9,60
290,B2 8-Seater-BS III,9,60
291,Elite LS-B3 10-Seater-BS II,9,60
292,Elite LS-B3 10-Seater-BS III,9,60
293,Elite LS-B3 7-Seater-BS II,9,60
294,Elite LS-B3 7-Seater-BS III,9,60
295,Elite LT-L1 7-Seater-BS II,9,60
296,Elite LT-L1 7-Seater-BS III,9,60
297,Elite LT-L1 9-Seater-BS II,9,60
298,Elite LT-L1 9-Seater-BS III,9,60
299,Elite LT-L2 BS II,9,60
300,Elite LT-L2 BS III,9,60
301,Elite SS-D1 BS II,9,60
302,Elite SS-D1 BS III,9,60
303,LS-B3 10-Seater-BS II,9,60
304,LS-B3 10-Seater-BS III,9,60
305,LS-B3 7-Seater-BS II,9,60
306,LS-B3 7-Seater-BS III,9,60
307,LT-L1 7-Seater-BS II,9,60
308,LT-L1 7-Seater-BS III,9,60
309,LT-L1 9-Seater-BS II,9,60
310,LT-L1 9-Seater-BS III,9,60
311,LT-L2-BS II,9,60
312,LT-L2-BS III,9,60
313,Neo 3 LS-10 STR BS-III,9,60
314,Neo 3 LS-10 STR BS-IV,9,60
315,Neo 3 LS-7 STR BS-III,9,60
316,Neo 3 LS-7 STR BS-IV,9,60
317,Neo 3 LS-7(C) STR BS-III,9,60
318,Neo 3 LS-7(C) STR BS-IV,9,60
319,Neo 3 LT-7(C) STR BS-III,9,60
320,Neo 3 LT-7(C) STR BS-IV,9,60
321,Neo 3 LT-8 STR BS-III,9,60
322,Neo 3 LT-8 STR BS-IV,9,60
323,Neo 3 LT-9 STR BS-III,9,60
324,Neo 3 LT-9 STR BS-IV,9,60
325,Neo 3 Max-10 STR BS-III,9,60
326,Neo 3 Max-10 STR BS-IV,9,60
327,Neo 3 Max-7 STR BS-III,9,60
328,Neo 3 Max-7 STR BS-IV,9,60
329,Neo 3-7 STR BS-III,9,60
330,Neo 3-10 STR BS-IV,9,60
331,Neo 3-10 STR BS-III,9,60
332,Neo LS-B3 10-STR BS-III,9,60
333,Neo LS-B3 7-Seater-BS III,9,60
334,Neo LS-B4 7-Captain-BS III,9,60
335,Neo LS-B4 7-STR BS III,9,60
336,Neo LT L 7-STR BS III,9,60
337,Neo LT L 9-STR BS III,9,60
338,Neo SS D1 7-STR BS III,9,60
339,Neo SS D1 8-STR BS III,9,60
340,NY B1 10-Seater-BS II,9,60
341,NY B1 10-Seater-BS III,9,60
342,NY B1 7-Seater-BS II,9,60
343,NY B1 7-Seater-BS III,9,60
344,NY B2 10-Seater-BS II,9,60
345,NY B2 10-Seater-BS III,9,60
346,NY B2 7-Seater-BS II,9,60
347,NY B2 7-Seater-BS III,9,60
348,NY Elite LS-B3 10-Seater-BS II,9,60
349,NY Elite LS-B3 10-Seater-BS III,9,60
350,NY Elite LS-B3 7-Seater-BS II,9,60
351,NY Elite LS-B3 7-Seater-BS III,9,60
352,NY Elite LT-L1 7-Seater-BS II,9,60
353,NY Elite LT-L1 7-Seater-BS III,9,60
354,NY Elite LT-L1 9-Seater-BS II,9,60
355,NY Elite LT-L1 9-Seater-BS III,9,60
356,NY Elite LT-L2 BS II,9,60
357,NY Elite LT-L2 BS III,9,60
358,NY Elite SS-D1 BS II,9,60
359,NY Elite SS-D1 BS III,9,60
360,SS-D1 BS II,9,60
361,SS-D1 BS III,9,60
362,Trailblazer LTZ (AT),9,61
363,1.2,9,62
364,1.2 LS,9,62
365,1.2 LS Techno,9,62
366,1.2 LT,9,62
367,1.2 LT w/o ABS,9,62
368,1.2 LT w/o ABS & Airbag,9,62
369,GLE,10,63
370,GLE AT,10,63
371,GLX,10,63
372,GLX AT,10,63
373,Deluxe,10,64
374,Std,10,64
375,A,11,65
376,D,11,65
377,NXT,11,65
378,Plus T,11,65
379,T,11,65
380,S,11,66
381,T OPT,11,66
382,Endeavour Titanium 4X2 AT,15,98
383,Coupe,12,68
384,Coupe,12,69
385,Coupe,12,70
386,Scaglietti,12,71
387,Convertible,12,72
388,Coupe,12,73
389,Spider,12,73
390,6.3L V12,12,74
391,Petrol,13,75
392,Lounge,13,76
393,Sport,13,76
394,Sport 1.6,13,77
395,1.2 EL,13,79
396,1.2 EL AC,13,79
397,1.2 ELX AC,13,79
398,1.2 Trend,13,79
399,1.2 Trend AC,13,79
400,1.7 Trend D,13,79
401,1.7 Trend D AC,13,79
402,Active 1.2,13,80
403,Active 1.3,13,80
404,Dynamic 1.2,13,80
405,Dynamic 1.3,13,80
406,Dynamic 1.4,13,80
407,Emotion 1.3,13,80
408,Emotion 1.4,13,80
409,Emotion Pack 1.3,13,80
410,Emotion Pack 1.3 90HP,13,80
411,Emotion Pack 1.4,13,80
412,Sport 1.3,13,80
413,Active 1.3,13,81
414,Active 1.3 MJD,13,81
415,Active 1.4,13,81
416,Dynamic 1.3,13,81
417,Dynamic 1.3 MJD,13,81
418,Dynamic 1.4,13,81
419,Dynamic Pk 1.3 MJD,13,81
420,Dynamic Pk 1.4,13,81
421,Emotion 1.3,13,81
422,Emotion 1.3 MJD,13,81
423,Emotion 1.4,13,81
424,Emotion Pk 1.3 MJD,13,81
425,Emotion Pk 1.4,13,81
426,T-Jet,13,81
427,T-Jet Plus,13,81
428,Petrol,13,82
429,1.2 EL PS,13,87
430,1.9 D EL PS,13,87
431,1.9 D ELX PS,13,87
432,1.9 D ELX PS SP,13,87
433,1.9 D ELX SP,13,87
434,NV 1.2 ELX,13,87
435,NV 1.2 Sport,13,87
